"FileName","Width","Height","AspectRatio","FileSizeKB","QualityCategory","IsOptimalHeight","FilePath"
"bill_gates_project.jpg","4160","2336","1.78","763.61","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\bill_gates_project.jpg"
"blue_radio_project.jpg","912","1612","0.57","110.48","MEDIUM","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\blue_radio_project.jpg"
"cartagena_event_project.jpg","2256","4000","0.56","663.77","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\cartagena_event_project.jpg"
"chiquinquira_project.jpg","784","1392","0.56","82.05","LOW","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\chiquinquira_project.jpg"
"chirajara_project.jpg","2560","1536","1.67","330.25","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\chirajara_project.jpg"
"desminate_pacific_project.jpg","2560","1536","1.67","383.99","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\desminate_pacific_project.jpg"
"desminate_pacific_project2.jpg","4618","3464","1.33","1564.86","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\desminate_pacific_project2.jpg"
"Desminate_Project.jpg","4618","3464","1.33","1225.84","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\Desminate_Project.jpg"
"event_project.jpg","4618","3464","1.33","1201.25","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\event_project.jpg"
"event_project1.jpg","4618","3464","1.33","745.51","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\event_project1.jpg"
"exploration_pacific_project.jpg","959","1280","0.75","170.02","MEDIUM","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\exploration_pacific_project.jpg"
"gas_project.jpg","780","1040","0.75","45.8","LOW","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\gas_project.jpg"
"Grupo Marte Training.jpg","604","421","1.43","40.71","LOW","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\Grupo Marte Training.jpg"
"guatavita_project.jpg","3120","3120","1","595.23","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\guatavita_project.jpg"
"Huawei_Project.jpg","2448","3264","0.75","267.69","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\Huawei_Project.jpg"
"Insurance_company_project.jpg","3120","4160","0.75","440.29","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\Insurance_company_project.jpg"
"pacific_desminate_project.jpg","4896","3672","1.33","2668.9","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\pacific_desminate_project.jpg"
"pacific_exploration_project.jpg","2560","1536","1.67","371.77","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\pacific_exploration_project.jpg"
"Project Event.jpg","1440","1440","1","297.83","GOOD","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\Project Event.jpg"
"project_blasting_caison.jpg","2560","1536","1.67","584.11","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\project_blasting_caison.jpg"
"project5.jpg","2048","1229","1.67","122.51","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\project5.jpg"
"Saab aviation Project.jpg","4618","3464","1.33","745.26","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\Saab aviation Project.jpg"
"saab_project.jpg","4000","4000","1","1905.09","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\saab_project.jpg"
"saab_project1 event Honda Tolima.jpg","4160","3120","1.33","292.66","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\saab_project1 event Honda Tolima.jpg"
"sony_project.jpg","4032","2268","1.78","382.89","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\sony_project.jpg"
"stelar_hotel_project.jpg","4160","3120","1.33","685.44","HIGH","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\stelar_hotel_project.jpg"
"training.jpg","640","480","1.33","38.89","LOW","YES","C:\Users\Eduard Perez\Documents\EmpathicWeb Project\Projects\Images\training.jpg"
